CORE ORGÂNICO  CO1 - Paraguaçu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,Hora,Prof (m),Latitude,Longitude,Diametro int. (cm),Corer area (cm),SAR (g/cm² y),SR (cm y-1),,,,,,,,,,,,,,,,,,,,,,,,
10/20/2014,8:35,9.78,"12°49'04,6"" W","38°44'32,3"" S",6.9,37.39280656,0.194±0.01,0.38±0.02,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Depth,  CaCO3,         %C,     d13C,%N,d15N,C/N,Age,Year,DryWeight (g),%Water,LayerVolume,DryBulkDensity(g/cm³),CO_Flux,TN_Flux,Alcanos,LMW/HMW,CPI,S1,S2,Tmax,S3CO,S3'CO,S3,S3',PC,RC,TOC,HI,OI,MINC,HI/OI
CO1.20,23.5,NaN,NaN,-25.61,NaN,NaN,NaN,46.8,1968,20.4486,64.87113945,56.08920984,0.364572795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO1.21,25,NaN,NaN,-24.39,NaN,NaN,NaN,50.2,1964.6,24.6139,63.60448,56.08920984,0.43883485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO1.22,26.5,16.9,2.11,-25.69,0.19,5.55,11.1,54,1960.8,27.6923,60.07814078,56.08920984,0.493718847,0.395863772,0.356465008,292.4889119,0.245693595,0.846762594,0.12,1.42,403,0.94,1,3.71,10.4,0.29,1.82,2.11,67,176,0.45,0.380681818
CO1.23,28,NaN,NaN,-25.95,NaN,NaN,NaN,57.5,1957.3,25.6672,59.13825071,56.08920984,0.457613863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO1.25,31,17.3,2.03,-25.61,0.17,5.56,11.9,64.6,1950.2,22.2752,65.79860606,56.08920984,0.397138773,0.306352849,0.256551647,3915.340808,0.495042835,3.511304758,0.18,1.94,416,1.26,0.7,4.06,11.6,0.36,1.82,2.18,89,186,0.44,0.478494624
CO1.28,35.5,14.8,1.75,-25.59,0.17,4.88,10.3,80.2,1934.6,39.8731,57.83005445,56.08920984,0.710887176,0.472739972,0.459233116,334.1048552,0.694597068,0.604734533,0.1,1.14,384,1.17,0.6,3.22,12.1,0.25,1.63,1.88,61,171,0.6,0.356725146
CO1.31,40.5,15.4,2.03,-25.64,0.17,4.97,11.9,96.1,1918.7,42.1568,57.18968216,74.78561312,0.563702004,0.434839726,0.364151495,262.1901755,0.441960423,0.553236582,0.12,1.13,394,0.7,0.9,3.52,15.8,0.25,1.6,1.85,61,190,0.61,0.321052632
CO1.35,48.5,16.9,1.97,-25.4,0.17,5.1,11.6,123.5,1891.3,48.6333,55.58771449,74.78561312,0.650302885,0.48681674,0.420095664,180.7,0.387891754,1.345325757,0.1,1.05,397,0.76,0.9,3.15,13.3,0.23,1.67,1.9,55,166,0.72,0.331325301
CO1.39,56.5,15.8,1.55,-24.92,0.16,4.85,9.7,153.6,1861.2,61.8436,50.53836701,74.78561312,0.826945149,0.487070693,0.502782651,195.209248,0.597861627,1.037207115,0.14,1.02,393,0.56,0.8,4.15,22,0.25,1.48,1.73,59,240,0.91,0.245833333
CO1.43,64.5,17.6,2.61,-25.77,0.19,4.83,13.7,186.9,1827.9,54.0947,52.56454619,74.78561312,0.7233303,0.717398992,0.522244477,243.6089576,0.318200147,2.033630988,0.12,1.55,411,0.86,1.1,3.58,12.8,0.3,1.95,2.25,69,159,1.1,0.433962264
CO1.47,72.5,17.1,2.92,-25.96,0.2,4.43,14.6,218.1,1796.7,60.0716,53.23150932,74.78561312,0.803250752,0.891287034,0.610470572,402.1943901,0.281905675,1.824999032,0.14,1.86,419,0.92,1.2,3.98,13.7,0.34,2.4,2.74,68,145,0.85,0.468965517
CO1.51,80.5,18.1,3.01,-26.09,0.2,4.48,15.1,251,1763.8,54.6852,54.82593662,74.78561312,0.731226204,0.836376532,0.555731915,4511.002199,0.358612819,3.391279398,0.16,1.78,412,0.82,1.2,4.02,16.5,0.33,2.14,2.47,72,163,1,0.441717791
CO1.55,88.5,16.6,3.29,-26.13,0.2,4.76,16.4,283.3,1731.5,58.2899,53.94597676,74.78561312,0.779426651,0.974439199,0.592364255,4819.786808,0.373795595,3.703279243,0.16,1.89,417,0.91,1.1,3.94,14.7,0.34,2.29,2.63,72,150,1.06,0.48
CO1.60,98.5,18.5,3.04,-26.2,0.19,4.4,16,322.1,1692.7,50.0892,53.36219872,74.78561312,0.669770534,0.773718921,0.483574326,4799.208505,0.284410908,3.451058968,0.17,1.88,415,0.9,1.2,4,16.8,0.34,2.24,2.58,73,155,1.17,0.470967742
CO1.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,330.7,1684.1,63.0005,52.93756783,74.78561312,0.842414702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO1.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,337.8,1677,51.2829,52.18100693,74.78561312,0.68573216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO1.64,106.5,16.6,3.06,-26.37,0.2,3.9,15.3,352.9,1661.9,59.0391,52.06575981,74.78561312,0.789444621,0.917966205,0.599977912,7002.278789,0.227284147,3.491476562,0.15,2.02,417,0.99,1.2,4.06,14.3,0.36,2.36,2.72,74,149,1.06,0.496644295
